地区名称,统计时间,新增确诊,死亡人数,治愈人数,累计确诊,本土确诊,无症状
0,台湾,2022/07/05,3872876,7025,13742,3893643,0,0
1,香港,2022/07/05,265494,9405,64265,339164,0,0
2,澳门,2022/07/05,315,2,83,400,0,0
3,安徽,2022/07/05,186,6,1059,1251,1235,673
4,天津,2022/07/05,148,3,1865,2016,1360,170
5,吉林,2022/07/05,121,5,40167,40293,40220,6159
6,广东,2022/07/05,92,8,7385,7485,3409,30
7,上海,2022/07/05,66,595,62619,63280,58536,14631
8,福建,2022/07/05,58,1,3406,3465,2066,18
9,山东,2022/07/05,28,7,2738,2773,2311,26
10,江苏,2022/07/05,25,0,2242,2267,2011,216
11,内蒙古,2022/07/05,21,1,2082,2104,1748,44
12,陕西,2022/07/05,20,3,3322,3345,2810,8
13,重庆,2022/07/05,20,6,717,743,666,0
14,北京,2022/07/05,19,9,3661,3689,2936,376
15,云南,2022/07/05,15,2,2160,2177,632,9
16,四川,2022/07/05,15,3,2361,2379,986,1164
17,浙江,2022/07/05,12,1,3149,3162,2540,125
18,江西,2022/07/05,8,1,1384,1393,1369,0
19,湖北,2022/07/05,3,4512,63888,68403,68276,0
20,湖南,2022/07/05,2,4,1395,1401,1260,0
21,甘肃,2022/07/05,1,2,679,682,497,0
22,山西,2022/07/05,1,0,423,424,283,0
23,辽宁,2022/07/05,1,2,1716,1719,1504,74
24,河南,2022/07/05,1,22,3161,3184,2972,0
25,青海,2022/07/05,0,0,147,147,0,0
26,海南,2022/07/05,0,6,282,288,269,40
27,河北,2022/07/05,0,7,2000,2007,1970,0
28,黑龙江,2022/07/05,0,13,2975,2988,2548,0
29,广西,2022/07/05,0,2,1647,1649,635,32
30,贵州,2022/07/05,0,2,183,185,184,0
31,宁夏,2022/07/05,0,0,122,122,118,0
32,新疆,2022/07/05,0,3,1005,1008,0,3
33,西藏,2022/07/05,0,0,1,1,0,0
